variant_id,n_partner_seed_units,reward_proxy,reward_proxy_constant,alignment,corr_precision_surprise,corr_precision_reward,corr_surprise_reward,corr_precision_active_encounters,corr_surprise_active_encounters,corr_reward_active_encounters,abs_corr_precision_surprise,abs_corr_precision_reward,abs_corr_surprise_reward,abs_corr_reward_active_encounters,active_encounter_min,active_encounter_max,active_encounter_imbalance,surprise_dominates_reward,partial_corr_precision_surprise,partial_corr_precision_reward,abs_partial_corr_precision_surprise,abs_partial_corr_precision_reward,partial_surprise_dominates_reward
affect,120,active_mean_payoff,False,active_encounter,-0.948833347817436,-0.7478464922431087,0.781185756715308,-0.48916988434934894,0.46464851054284717,0.7572502674033254,0.948833347817436,0.7478464922431087,0.781185756715308,0.7572502674033254,4.0,174.0,43.5,True,-0.8815533019139002,0.1297021077169373,0.8815533019139002,0.1297021077169373,True
global_beta,120,active_mean_payoff,False,active_encounter,-0.5552951874717208,-0.4471834300408445,0.7779306569057458,-0.34928151599556634,0.5144304198159223,0.7826047720159692,0.5552951874717208,0.4471834300408445,0.7779306569057458,0.7826047720159692,2.0,187.0,93.5,True,-0.37998518532782827,0.04876948871981226,0.37998518532782827,0.04876948871981226,True
