experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,trust_approach_latency,trust_withdrawal_latency,trust_asymmetry
betrayal,cautious_low_alpha,14211,1867.0,9.335,0.0,4.0,0.2175,9.217490676086037,9.221667366646578,8.924309552952131,0.3518084318896001,1.0,1.0,1.0
betrayal,cautious_low_alpha,14212,2013.0,10.065,0.0,4.0,0.6,8.925506251708388,8.423556543464285,8.53938920481969,0.25192050701760654,1.0,2.0,2.0
betrayal,cautious_low_alpha,14213,1855.5,9.2775,0.0,23.0,0.3525,9.218358318866368,9.099071997766789,9.165876728135446,0.29877794747148045,1.0,1.0,1.0
betrayal,cautious_low_alpha,14214,1864.0,9.32,0.0,4.0,0.4025,9.202416371274976,9.1189671205376,8.94009959858507,0.2922921875864987,3.0,1.0,0.3333333333333333
betrayal,cautious_low_alpha,14215,1871.5,9.3575,0.0,28.0,0.185,9.23472582120154,9.052313392035073,8.923075879112659,0.35779463481278545,2.0,1.0,0.5
betrayal,cautious_low_alpha,14216,1826.0,9.13,0.0,,0.21,9.300428861858656,9.19070647570696,9.023763849489217,0.3610793851732999,1.0,2.0,2.0
betrayal,cautious_low_alpha,14217,1898.5,9.4925,0.0,18.0,0.5325,8.764675020273751,8.814362551965203,8.552980899660943,0.27795622261029607,1.0,1.0,1.0
betrayal,cautious_low_alpha,14218,1871.0,9.355,0.0,4.0,0.1975,9.369603453667587,9.123275779491784,8.9785402256663,0.35430918293380836,1.0,1.0,1.0
betrayal,cautious_low_alpha,14219,1856.0,9.28,0.0,4.0,0.155,9.439224276757313,9.37385309202414,9.353945552894416,0.37931897365351697,1.0,2.0,2.0
betrayal,default_reference,14200,1953.5,9.7675,0.0,22.0,0.4575,8.684190144189012,9.017267797661074,8.870881758016136,1.0996492791837296,2.0,3.0,1.5
betrayal,default_reference,14201,1803.0,9.015,0.0,48.0,0.3175,8.940638906754213,9.195103303424457,9.130862145763396,0.978599580729269,3.0,1.0,0.3333333333333333
betrayal,default_reference,14202,1858.0,9.29,0.0,4.0,0.1575,9.268433932034739,9.250511119398814,9.142733889513984,1.0296850129764519,1.0,2.0,2.0
