variant_id,total_payoff,mean_accuracy,mean_stance_accuracy,mean_joint_accuracy,mean_q_pi_entropy,predictive_log_score,delta_total_payoff_vs_affect,delta_mean_accuracy_vs_affect,delta_mean_stance_accuracy_vs_affect,delta_mean_joint_accuracy_vs_affect,delta_mean_q_pi_entropy_vs_affect,delta_predictive_log_score_vs_affect
affect,483.46666666666664,0.33249999999999996,0.893,0.3013333333333333,4.8297431569613245,-0.6726204373269978,0.0,0.0,0.0,0.0,0.0,0.0
global_beta,517.6,0.30083333333333334,0.8848333333333334,0.26166666666666666,4.884681145908712,-0.6990722543076785,34.13333333333338,-0.03166666666666662,-0.008166666666666655,-0.03966666666666663,0.05493798894738777,-0.026451816980680665
no_affect,542.1333333333333,0.32716666666666666,0.9198333333333333,0.2983333333333333,4.32203071785891,-0.697018648274853,58.666666666666686,-0.005333333333333301,0.026833333333333265,-0.0030000000000000027,-0.5077124391024146,-0.024398210947855214
