experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,trust_approach_latency,trust_withdrawal_latency,trust_asymmetry
betrayal,cautious_low_alpha,14212,2253.0,11.265,0.0,4.0,0.025,0.0,0.65,7.897794440365171,6.37169039820281,5.8696060895212865,0.2663711427451368,1.0,1.0,1.0
betrayal,cautious_low_alpha,14213,2216.5,11.0825,0.0,,0.15,0.075,0.6025,7.382139133278668,6.896900666922299,6.613714479979564,0.32340683651919494,1.0,6.0,6.0
betrayal,cautious_low_alpha,14214,2297.5,11.4875,0.0,59.0,0.0,0.0,0.7,7.526155446188372,6.126347604835498,5.733806786603112,0.24070010543435505,4.0,1.0,0.25
betrayal,cautious_low_alpha,14215,2216.0,11.08,0.0,4.0,0.9,0.75,0.5375,7.231056194136511,6.789039015564247,6.87824910572573,0.3872232874906002,1.0,2.0,2.0
betrayal,cautious_low_alpha,14216,1910.0,9.55,0.0,10.0,0.4,0.225,0.0825,8.098290241232188,8.216970237867828,8.32770349984497,0.3525252083928778,1.0,1.0,1.0
betrayal,cautious_low_alpha,14217,2310.5,11.5525,0.0,8.0,0.1,0.025,0.7075,7.193452581275102,6.20002467997639,5.851599292335672,0.23512457497365913,2.0,1.0,0.5
betrayal,cautious_low_alpha,14218,2287.5,11.4375,0.0,,0.1,0.025,0.62,7.770351822769822,6.502145275486627,6.010240530596488,0.30996384626365187,1.0,1.0,1.0
betrayal,cautious_low_alpha,14219,2253.5,11.2675,0.0,,0.025,0.0,0.62,7.672896896762402,6.719481068266324,6.324471886913726,0.29077608662657317,1.0,2.0,2.0
betrayal,default_reference,14200,2421.0,12.105,0.0,,0.025,0.025,0.7475,4.168872694576729,3.6608170182821054,3.8301616920713477,0.131132109890153,1.0,4.0,4.0
betrayal,default_reference,14201,1918.0,9.59,0.0,7.0,0.725,0.25,0.47,5.940622488700184,6.583769961898671,8.13086970102166,0.7379257741592038,1.0,4.0,4.0
betrayal,default_reference,14202,2256.5,11.2825,0.0,4.0,0.8,0.7,0.4775,5.6043668421867014,5.300703707333197,4.521328359909736,0.5893034000766786,1.0,4.0,4.0
betrayal,default_reference,14203,2287.0,11.435,0.0,4.0,0.975,0.95,0.725,4.036389128203653,4.5389856286956505,5.199016431951707,0.29824824781258386,1.0,2.0,2.0
