variant_id,seed,selected_partner,selection_count,mean_payoff,mean_q_pi_entropy,mean_selected_partner_beta,total_choices,selection_rate
affect,42,0,66,9.469696969696969,8.618209442073931,1.3347117868595528,200,0.33
affect,42,1,53,9.38679245283019,8.769094595901558,1.2242128734936195,200,0.265
affect,42,2,34,9.0,8.573534816114075,1.1505511568742397,200,0.17
affect,42,3,47,8.96808510638298,8.742403606312772,1.311543094602867,200,0.235
affect,43,0,56,9.160714285714286,8.542691748764778,1.3067830068899455,200,0.28
affect,43,1,46,9.23913043478261,8.17817814032356,1.0503521441115744,200,0.23
affect,43,2,54,9.194444444444445,7.93531314589715,0.9044005125801924,200,0.27
affect,43,3,44,9.056818181818182,7.831365012244492,0.8839667975684282,200,0.22
affect,44,0,72,9.63888888888889,8.910000274835873,1.2918631595478975,200,0.36
affect,44,1,51,9.362745098039216,9.015578058042397,1.620354025434915,200,0.255
affect,44,2,43,9.325581395348838,8.859882160894,1.0859303462060155,200,0.215
affect,44,3,34,8.779411764705882,8.991493270643613,1.561644814664885,200,0.17
affect,45,0,46,9.195652173913043,9.054183408649008,1.514053379311717,200,0.23
affect,45,1,66,9.257575757575758,8.452843287217632,1.4479874239115784,200,0.33
affect,45,2,48,9.385416666666666,8.714308878995157,1.2058751765253006,200,0.24
affect,45,3,40,9.15,7.98762109268187,0.8668525371089757,200,0.2
affect,46,0,46,9.434782608695652,8.815658335914737,1.1246515685900647,200,0.23
affect,46,1,56,9.214285714285714,8.479826285516788,1.233784624951714,200,0.28
affect,46,2,68,9.080882352941176,7.96346790856829,0.8398316517116942,200,0.34
affect,46,3,30,8.883333333333333,8.474350221495747,1.40743508758276,200,0.15
affect,47,0,33,9.393939393939394,8.416588463965272,1.0218407077223424,200,0.165
affect,47,1,85,10.005882352941176,8.587765990010519,1.2846618928777114,200,0.425
affect,47,2,52,9.240384615384615,8.092064434661086,0.7674410546942361,200,0.26
affect,47,3,30,9.083333333333334,8.718898293842528,1.4394415685204485,200,0.15
affect,48,0,36,9.583333333333334,8.502244219243538,0.9537044859746574,200,0.18
affect,48,1,50,9.05,8.771849537424691,1.4739247692264852,200,0.25
affect,48,2,60,9.233333333333333,7.99917838810371,0.8086013082035154,200,0.3
affect,48,3,54,9.703703703703704,9.032829750708013,1.5919734235170837,200,0.27
affect,49,0,48,9.354166666666666,8.600251323051458,0.9907876494341791,200,0.24
affect,49,1,42,8.94047619047619,8.485687295555413,1.1151964307897109,200,0.21
affect,49,2,54,9.314814814814815,8.69256823695809,1.3602547117078612,200,0.27
affect,49,3,56,9.294642857142858,7.845939888392359,0.9445777556959057,200,0.28
affect,50,0,39,9.166666666666666,8.594742317446721,1.1963875761475484,200,0.195
affect,50,1,31,9.274193548387096,8.943709993305541,1.4905761304594085,200,0.155
affect,50,2,81,9.32716049382716,8.614427619253101,1.1421608178651936,200,0.405
affect,50,3,49,8.877551020408163,8.952581017594223,1.516546059335089,200,0.245
affect,51,0,33,9.242424242424242,8.854433056922083,1.3899530164986458,200,0.165
affect,51,1,50,9.28,8.738282586228806,1.3778699640617305,200,0.25
affect,51,2,43,9.383720930232558,8.620816947496397,1.230778066356775,200,0.215
affect,51,3,74,9.202702702702704,8.46247246437276,1.1319729942607895,200,0.37
affect,52,0,52,9.336538461538462,8.964692134918952,1.5948466059416644,200,0.26
affect,52,1,55,9.436363636363636,9.059287880879989,1.5935897802661414,200,0.275
affect,52,2,50,9.48,8.873859864216904,1.348547450025531,200,0.25
affect,52,3,43,8.895348837209303,8.56415858870788,0.9950390622719794,200,0.215
affect,53,0,50,9.43,8.893530294133742,1.5443947561071614,200,0.25
affect,53,1,31,9.14516129032258,8.515339734880317,1.1636252980262334,200,0.155
affect,53,2,61,8.991803278688524,8.6222165493405,1.280735699864278,200,0.305
affect,53,3,58,9.362068965517242,7.842729973727375,0.7496614256199989,200,0.29
affect,54,0,49,9.255102040816327,9.010868879648427,1.4171703234914605,200,0.245
affect,54,1,37,9.243243243243244,8.95842659193882,1.2134673593502612,200,0.185
affect,54,2,46,9.173913043478262,8.879426106408149,1.3569501215571729,200,0.23
affect,54,3,68,9.580882352941176,8.959583829229034,1.4978777686069482,200,0.34
affect,55,0,51,9.5,8.989871879965799,1.4836238834533433,200,0.255
affect,55,1,67,9.514925373134329,8.561142250883762,1.0677483762080184,200,0.335
affect,55,2,54,9.194444444444445,8.572437439187715,1.1124615684879007,200,0.27
affect,55,3,28,9.196428571428571,8.825384718244935,1.3402150526169196,200,0.14
affect,56,0,27,8.851851851851851,8.90238398347232,1.4265432383412155,200,0.135
affect,56,1,28,9.053571428571429,8.668959520493592,1.3113032307815005,200,0.14
affect,56,2,102,9.362745098039216,7.789381900375014,1.004242017371961,200,0.51
affect,56,3,43,9.046511627906977,8.356017580602314,1.0625009085911068,200,0.215
affect,57,0,41,9.939024390243903,8.619785901846589,1.1959563449165918,200,0.205
affect,57,1,133,10.781954887218046,7.971666079852896,0.9526923710460812,200,0.665
affect,57,2,20,9.3,8.379332441516983,0.8920608553342163,200,0.1
affect,57,3,6,9.0,9.03173497408511,0.9794616548116712,200,0.03
affect,58,0,75,9.3,8.853421560487433,1.4259921004121259,200,0.375
affect,58,1,41,9.182926829268293,8.657446240536023,1.2607395738270206,200,0.205
affect,58,2,37,9.08108108108108,8.46771771958282,0.9020329255127304,200,0.185
affect,58,3,47,9.170212765957446,8.62790313877795,1.2840177624356224,200,0.235
affect,59,0,69,9.76086956521739,8.896157813108605,1.6294308408041047,200,0.345
affect,59,1,50,9.23,8.345921452589577,1.071958541238931,200,0.25
affect,59,2,46,9.206521739130435,8.04329339910676,0.7923617842460142,200,0.23
affect,59,3,35,9.414285714285715,8.570469199067228,1.0798473876176164,200,0.175
affect,60,0,89,9.713483146067416,8.546280033743786,1.1189592868024292,200,0.445
affect,60,1,15,8.566666666666666,9.083726472831106,1.2680587977281406,200,0.075
affect,60,2,41,9.292682926829269,8.625317796565026,1.0956132132036684,200,0.205
affect,60,3,55,9.690909090909091,8.793624359665934,1.5964271577725522,200,0.275
affect,61,0,43,9.337209302325581,8.952408563701034,1.5010511249264624,200,0.215
affect,61,1,41,9.426829268292684,9.150584757635997,1.3725289503344198,200,0.205
affect,61,2,73,9.356164383561644,8.938514104187853,1.2933697823244812,200,0.365
affect,61,3,43,9.104651162790697,9.061707413827033,1.2627296488748225,200,0.215
affect,62,0,51,9.284313725490197,8.657026115590863,1.2185284819287,200,0.255
affect,62,1,64,9.328125,8.872661058361725,1.5959483884048145,200,0.32
affect,62,2,49,8.948979591836734,8.273913880201938,1.0093913211195875,200,0.245
affect,62,3,36,8.916666666666666,8.616935314551453,1.3374780486387057,200,0.18
affect,63,0,72,9.54861111111111,8.939292145270441,1.349538871331323,200,0.36
affect,63,1,49,8.918367346938776,9.076407872721049,1.3973420646057115,200,0.245
affect,63,2,34,9.191176470588236,8.566044855177779,1.582049726942589,200,0.17
affect,63,3,45,9.355555555555556,8.310110420247046,0.9001719967513878,200,0.225
affect,64,0,73,9.342465753424657,8.55204068195073,1.4268430882672183,200,0.365
affect,64,1,43,9.267441860465116,7.807292005746481,0.7994700349411002,200,0.215
affect,64,2,47,9.053191489361701,8.422150143905787,1.2639031182662879,200,0.235
affect,64,3,37,9.202702702702704,9.080605537932469,1.4472452600873997,200,0.185
affect,65,0,65,9.23076923076923,8.079029257567026,0.9582628963541251,200,0.325
affect,65,1,34,9.117647058823529,8.965882167896424,1.4771828797242457,200,0.17
affect,65,2,42,9.238095238095237,8.272829287499576,0.9812580307622176,200,0.21
affect,65,3,59,9.40677966101695,8.91395549914587,1.5557499994741557,200,0.295
affect,66,0,35,9.614285714285714,9.095812798251039,1.2461689698126306,200,0.175
affect,66,1,85,9.323529411764707,9.079919204931329,1.6026255101452784,200,0.425
affect,66,2,34,9.338235294117647,8.819820069292371,1.131736789889682,200,0.17
affect,66,3,46,8.880434782608695,8.953109007242894,1.3458911055918807,200,0.23
affect,67,0,34,9.029411764705882,8.976139296544828,1.3713727574463532,200,0.17
affect,67,1,43,8.930232558139535,9.061368599622478,1.44241831124949,200,0.215
affect,67,2,84,9.946428571428571,8.677773759864728,1.1745529469091893,200,0.42
affect,67,3,39,9.320512820512821,8.439299079517966,1.213965940911964,200,0.195
affect,68,0,58,9.39655172413793,8.667759227616513,1.3137635186735415,200,0.29
affect,68,1,34,8.75,8.903695364672854,1.5578770204508106,200,0.17
affect,68,2,64,9.7734375,8.29013918370309,1.122270256991604,200,0.32
affect,68,3,44,9.409090909090908,9.132881155809672,1.5285197771010657,200,0.22
affect,69,0,33,9.106060606060606,9.080222724871943,1.4293310516934352,200,0.165
affect,69,1,52,9.548076923076923,8.787985118215316,1.636415051182667,200,0.26
affect,69,2,55,9.163636363636364,7.7927573847821785,0.7734950400433837,200,0.275
affect,69,3,60,9.45,7.991961871377857,0.9505303242950897,200,0.3
affect,70,0,56,9.526785714285714,8.58789338620402,1.4527046873480491,200,0.28
affect,70,1,29,9.0,8.684092373498254,1.5287733581997185,200,0.145
affect,70,2,86,9.36046511627907,7.603596400288769,0.6354830633438464,200,0.43
affect,70,3,29,9.155172413793103,8.515825194835179,1.477488579145797,200,0.145
affect,71,0,77,9.603896103896103,9.007272372375086,1.504041967783406,200,0.385
affect,71,1,27,9.11111111111111,9.113617061029062,1.2004961472726063,200,0.135
affect,71,2,47,9.127659574468085,8.8204333053055,1.5824515263275267,200,0.235
affect,71,3,49,9.244897959183673,8.371917157382057,0.9670298618768672,200,0.245
global_beta,42,0,54,8.935185185185185,8.64528261989187,1.1946064674934642,200,0.27
global_beta,42,1,57,9.157894736842104,8.770720936659853,1.2906116293981789,200,0.285
global_beta,42,2,37,8.905405405405405,8.582947208045407,1.1523597370656564,200,0.185
global_beta,42,3,52,8.942307692307692,8.679454481397249,1.1803388044236578,200,0.26
global_beta,43,0,70,9.528571428571428,8.474220465457327,1.0779923912758727,200,0.35
global_beta,43,1,40,9.175,8.32987644581587,1.0534102076884129,200,0.2
global_beta,43,2,45,9.344444444444445,8.000544732896604,0.813095096269147,200,0.225
global_beta,43,3,45,9.311111111111112,8.165961936391064,0.832643293032497,200,0.225
global_beta,44,0,73,9.602739726027398,8.958668171403,1.526052718590215,200,0.365
global_beta,44,1,58,9.517241379310345,8.97573600339789,1.4853596261815785,200,0.29
global_beta,44,2,33,9.045454545454545,9.02645681862684,1.3240701263991728,200,0.165
global_beta,44,3,36,9.166666666666666,8.98005083147293,1.3921571165360411,200,0.18
global_beta,45,0,68,9.058823529411764,8.875564871012156,1.3102282078042102,200,0.34
global_beta,45,1,65,9.184615384615384,8.825428485413903,1.334585341251345,200,0.325
global_beta,45,2,38,9.144736842105264,8.30758763681862,0.9968914816129467,200,0.19
global_beta,45,3,29,8.827586206896552,8.383532828074177,0.9531763995961368,200,0.145
global_beta,46,0,64,9.5703125,8.51124100547735,0.9310894116661371,200,0.32
global_beta,46,1,67,9.522388059701493,8.523469331081984,1.0784976043823726,200,0.335
global_beta,46,2,30,9.383333333333333,8.28203204752595,0.8914213202743009,200,0.15
global_beta,46,3,39,8.935897435897436,8.315684951928922,0.9310889265958602,200,0.195
global_beta,47,0,27,8.777777777777779,8.738483503625853,1.1801362512053595,200,0.135
global_beta,47,1,87,9.339080459770114,8.780313272789673,1.2297601234996403,200,0.435
