experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,reengagement_rate,payoff_recovery,reengagement_latency,beta_pre,beta_betrayal,beta_repair,beta_recovery_r080,beta_recovery_r100,beta_recovery_r120,beta_recovery_r140,beta_recovery_r160,beta_recovery_r180,beta_recovery_r200
forgiveness,cautious_high_alpha,4200,2337.0,11.685,0.0,4.0,0.425,0.375,0.56,4.0959885329155785,4.79413029377017,4.175003060883833,0.5677438890596687,0.4430379746835443,1.0384052355119264,8.0,0.5682621448397169,0.9980329324700552,0.6696260722239472,0.5634693143963168,1.451557375133804,1.0705453791601311,0.8903360469427741,0.5136087263612323,0.5116954826351143,0.511502943090223
forgiveness,cautious_high_alpha,4201,2159.0,10.795,0.03333333333333333,12.0,0.65,0.475,0.625,7.859739528285598,5.6678297344284,3.8711897222869003,0.5866046713252838,0.9873417721518988,1.0146484645418548,0.0,1.0401299541619626,1.0533209041537108,0.5476036528373667,0.7308734844868618,1.3259437254409818,1.177562357953353,0.5147509447530471,0.5366885388925314,0.5122976569674469,0.5113443805583201
forgiveness,cautious_high_alpha,4202,2016.5,10.0825,0.0,26.0,0.65,0.325,0.605,7.606936618412035,6.939975261929346,4.315895874292555,1.0002673832882798,0.9493670886075949,1.3054199940845905,1.0,1.4994075548434886,1.4454254869117058,0.5792083145851806,1.7242284034352409,1.761124006958172,1.1582832590740497,0.7073729086925125,0.5135687630544681,0.5163740470687885,0.6055885072008667
forgiveness,cautious_high_alpha,4203,1820.0,9.1,0.1,4.0,0.225,0.05,0.3025,8.028317887673513,7.044750499604106,7.641636670371758,1.211030026822943,0.27848101265822783,0.9376629697875744,10.0,1.4494797012752572,0.9773462139798184,1.3001332874611444,1.6596189939569188,1.097140583659284,0.672137086181366,1.0186351637516067,1.4778465555477267,1.636460824344625,1.690275164611645
forgiveness,cautious_high_alpha,4204,2338.5,11.6925,0.06666666666666667,,0.0,0.0,0.7225,5.03400819947788,4.035615278175589,4.034035561446191,0.30040755384036144,0.0,0.9718415618547025,,1.6152927570800295,1.6152927570800297,1.6152927570800293,1.6152927570800297,1.6152927570800297,1.6152927570800297,1.6152927570800297,1.6152927570800297,1.6152927570800297,1.6152927570800297
forgiveness,cautious_high_alpha,4205,2095.0,10.475,0.0,,0.0,0.0,0.5875,7.988835931532515,5.573941561781801,5.358944147461914,0.586316624482283,0.0,1.0832691567192914,,1.4366980413427382,1.421848266714901,1.4218482667149015,1.421848266714901,1.421848266714901,1.421848266714901,1.421848266714901,1.421848266714901,1.421848266714901,1.421848266714901
forgiveness,cautious_high_alpha,4206,2293.0,11.465,0.03333333333333333,79.0,0.0,0.0,0.715,4.925072350998113,4.407801775469308,4.236372523298133,0.36232418654145376,0.012658227848101266,1.0392283714638593,39.0,1.6531700596638423,1.6421174221513657,1.6679413581104918,1.6421174221513657,1.6421174221513657,1.6421174221513657,1.6421174221513657,1.6931196956706394,1.6931196956706394,1.6931196956706394
forgiveness,cautious_high_alpha,4207,2340.5,11.7025,0.0,,0.0,0.0,0.7425,4.615023270563521,4.151612075566746,4.119998100495277,0.31179904445763473,0.0,1.0066134937980755,,1.5817999999999999,1.5818,1.5817999999999999,1.5818,1.5818,1.5818,1.5818,1.5818,1.5818,1.5818
forgiveness,cautious_high_alpha,4208,2238.0,11.19,0.03333333333333333,4.0,0.875,0.525,0.7225,4.95282881163217,5.399731791817543,4.019978229265175,0.3891345625330798,1.0,1.0108601580166952,0.0,0.6412922508460539,0.9134313385693698,0.5769154373826881,0.7849051224196413,1.1279037246456038,0.978940521075152,0.5340441730853286,0.5149223926862936,0.511615136849253,0.5127805391153638
forgiveness,cautious_high_alpha,4209,1833.5,9.1675,0.13333333333333333,,0.0,0.0,0.34,7.62536851835382,6.01325772299738,6.6629520349596545,1.0136346329163515,0.02531645569620253,1.0152885896626693,40.0,1.4610099248565542,1.522278683492614,1.6002876523211413,1.522278683492614,1.522278683492614,1.522278683492614,1.522278683492614,1.522278683492614,1.6836072142090837,1.6836072142090837
