variant_id,total_payoff,mean_accuracy,mean_stance_accuracy,mean_joint_accuracy,mean_q_pi_entropy,predictive_log_score,delta_total_payoff_vs_affect,delta_mean_accuracy_vs_affect,delta_mean_stance_accuracy_vs_affect,delta_mean_joint_accuracy_vs_affect,delta_mean_q_pi_entropy_vs_affect,delta_predictive_log_score_vs_affect
affect,1977.2333333333333,0.4618333333333334,0.7100000000000001,0.32733333333333337,8.21146902265425,-0.5778216931761211,0.0,0.0,0.0,0.0,0.0,0.0
global_beta,1973.4333333333334,0.4026666666666667,0.7061666666666666,0.259,8.426493019900283,-0.6043372879895564,-3.7999999999999545,-0.0591666666666667,-0.0038333333333334663,-0.06833333333333336,0.21502399724603372,-0.02651559481343535
no_affect,1905.9166666666667,0.35216666666666663,0.753,0.25433333333333336,8.737446260847884,-0.6690363306269916,-71.3166666666666,-0.10966666666666675,0.04299999999999993,-0.07300000000000001,0.5259772381936347,-0.09121463745087055
