metric,treatment_variant,reference_variant,treatment_mean,reference_mean,paired_difference,paired_ci_low,paired_ci_high,n_pairs,bootstrap_method
policy_entropy,affect,lesioned,6.886782763868637,7.656845560436978,-0.770062796568341,-0.9655265750978617,-0.5767985425158536,30,paired_seed_percentile
beta_range,affect,lesioned,0.8493712923439353,0.8921194305762974,-0.042748138232362086,-0.08563749321582367,0.003795484711361064,30,paired_seed_percentile
cumulative_payoff,affect,lesioned,2003.2666666666667,1966.7833333333333,36.483333333333334,-8.550833333333333,84.08916666666657,30,paired_seed_percentile
