variant_id,seed,partner_idx,switch_event_idx,switch_round,switch_kind,window,encounters,mean_payoff,mean_q_pi_entropy,wrong_type_rate,bad_payoff_rate,low_entropy_rate,overconfident_wrong_type_rate,overconfident_bad_payoff_rate,selected_partner_rate,entropy_cutoff
lesioned,530,0,0,30,scheduled_stance,10,9,9.277777777777779,8.629779508555096,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,8.535499029022843
lesioned,531,0,0,30,scheduled_stance,10,10,8.8,9.111474227806749,1.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
lesioned,532,0,0,30,scheduled_stance,10,0,,,,,,,,,8.535499029022843
lesioned,533,0,0,30,scheduled_stance,10,1,10.0,8.476215135922894,0.0,0.0,1.0,0.0,0.0,1.0,8.535499029022843
lesioned,534,0,0,30,scheduled_stance,10,4,8.5,8.469643851377443,0.5,0.0,0.75,0.5,0.0,1.0,8.535499029022843
lesioned,535,0,0,30,scheduled_stance,10,10,7.3,9.01004340324739,1.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
lesioned,536,0,0,30,scheduled_stance,10,10,8.0,9.007744487747507,1.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
lesioned,537,0,0,30,scheduled_stance,10,3,8.0,8.839190676363513,0.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
lesioned,538,0,0,30,scheduled_stance,10,4,9.25,8.917091019149085,0.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
lesioned,539,0,0,30,scheduled_stance,10,1,9.0,8.239132987733711,0.0,0.0,1.0,0.0,0.0,1.0,8.535499029022843
lesioned,540,0,0,30,scheduled_stance,10,4,9.5,8.539730007973818,0.0,0.0,0.75,0.0,0.0,1.0,8.535499029022843
lesioned,541,0,0,30,scheduled_stance,10,6,9.666666666666666,8.773269010718353,0.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
lesioned,542,0,0,30,scheduled_stance,10,8,9.0,8.511058761296868,0.0,0.0,0.625,0.0,0.0,1.0,8.535499029022843
lesioned,543,0,0,30,scheduled_stance,10,6,8.166666666666666,8.651990213774521,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,8.535499029022843
lesioned,544,0,0,30,scheduled_stance,10,2,8.0,8.74095052858089,0.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
lesioned,545,0,0,30,scheduled_stance,10,0,,,,,,,,,8.535499029022843
lesioned,546,0,0,30,scheduled_stance,10,6,9.5,8.946838510704373,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,8.535499029022843
lesioned,547,0,0,30,scheduled_stance,10,8,9.0625,8.963867094678335,0.125,0.0,0.0,0.0,0.0,1.0,8.535499029022843
lesioned,548,0,0,30,scheduled_stance,10,3,9.333333333333334,8.608801684100877,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,8.535499029022843
lesioned,549,0,0,30,scheduled_stance,10,7,8.714285714285714,8.86151335244831,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,8.535499029022843
no_affect,520,0,0,30,scheduled_stance,10,6,8.0,9.009321117767113,0.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
no_affect,521,0,0,30,scheduled_stance,10,2,10.75,8.465334371138809,0.5,0.0,1.0,0.5,0.0,1.0,8.535499029022843
no_affect,522,0,0,30,scheduled_stance,10,5,8.6,8.850178351602668,0.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
no_affect,523,0,0,30,scheduled_stance,10,8,9.375,8.773921203236423,0.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
no_affect,524,0,0,30,scheduled_stance,10,3,9.333333333333334,8.483772302735524,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,8.535499029022843
no_affect,525,0,0,30,scheduled_stance,10,3,9.333333333333334,8.819233907101955,0.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
no_affect,526,0,0,30,scheduled_stance,10,3,9.333333333333334,8.773200740687656,0.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
no_affect,527,0,0,30,scheduled_stance,10,3,9.0,8.650312163800065,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,1.0,8.535499029022843
no_affect,528,0,0,30,scheduled_stance,10,6,8.666666666666666,8.859730717795182,0.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
no_affect,529,0,0,30,scheduled_stance,10,1,8.0,8.489599918656502,0.0,0.0,1.0,0.0,0.0,1.0,8.535499029022843
no_affect,530,0,0,30,scheduled_stance,10,9,9.277777777777779,8.629779508555096,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,8.535499029022843
no_affect,531,0,0,30,scheduled_stance,10,10,8.8,9.111474227806749,1.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
no_affect,532,0,0,30,scheduled_stance,10,0,,,,,,,,,8.535499029022843
no_affect,533,0,0,30,scheduled_stance,10,1,10.0,8.476215135922894,0.0,0.0,1.0,0.0,0.0,1.0,8.535499029022843
no_affect,534,0,0,30,scheduled_stance,10,4,8.5,8.469643851377443,0.5,0.0,0.75,0.5,0.0,1.0,8.535499029022843
no_affect,535,0,0,30,scheduled_stance,10,10,7.3,9.01004340324739,1.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
no_affect,536,0,0,30,scheduled_stance,10,10,8.0,9.007744487747507,1.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
no_affect,537,0,0,30,scheduled_stance,10,3,8.0,8.839190676363513,0.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
no_affect,538,0,0,30,scheduled_stance,10,4,9.25,8.917091019149085,0.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
no_affect,539,0,0,30,scheduled_stance,10,1,9.0,8.239132987733711,0.0,0.0,1.0,0.0,0.0,1.0,8.535499029022843
no_affect,540,0,0,30,scheduled_stance,10,4,9.5,8.539730007973818,0.0,0.0,0.75,0.0,0.0,1.0,8.535499029022843
no_affect,541,0,0,30,scheduled_stance,10,6,9.666666666666666,8.773269010718353,0.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
no_affect,542,0,0,30,scheduled_stance,10,8,9.0,8.511058761296868,0.0,0.0,0.625,0.0,0.0,1.0,8.535499029022843
no_affect,543,0,0,30,scheduled_stance,10,6,8.166666666666666,8.651990213774521,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,8.535499029022843
no_affect,544,0,0,30,scheduled_stance,10,2,8.0,8.74095052858089,0.0,0.0,0.0,0.0,0.0,1.0,8.535499029022843
no_affect,545,0,0,30,scheduled_stance,10,0,,,,,,,,,8.535499029022843
no_affect,546,0,0,30,scheduled_stance,10,6,9.5,8.946838510704373,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,8.535499029022843
no_affect,547,0,0,30,scheduled_stance,10,8,9.0625,8.963867094678335,0.125,0.0,0.0,0.0,0.0,1.0,8.535499029022843
no_affect,548,0,0,30,scheduled_stance,10,3,9.333333333333334,8.608801684100877,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,8.535499029022843
no_affect,549,0,0,30,scheduled_stance,10,7,8.714285714285714,8.86151335244831,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,8.535499029022843
