metric,true_partner_type,treatment_variant,reference_variant,treatment_mean,reference_mean,difference,bootstrap_ci_low,bootstrap_ci_high,paired_dz,n_pairs,bootstrap_iterations,bootstrap_seed,bootstrap_method
policy_entropy,,affect,no_affect,6.886782763868637,7.656845560436978,-0.770062796568341,-0.9655265750978617,-0.5767985425158536,-1.3875545805453005,30,10000,0,paired_seed_percentile
cumulative_payoff,,affect,no_affect,2003.2666666666667,1966.7833333333333,36.483333333333334,-8.550833333333333,84.08916666666657,0.278848231488191,30,10000,0,paired_seed_percentile
selection_share_cooperator,cooperator,affect,no_affect,0.29583333333333334,0.3073333333333333,-0.0115,-0.04850000000000001,0.02483333333333333,-0.11078134075677619,30,10000,0,paired_seed_percentile
selection_share_exploiter,exploiter,affect,no_affect,0.24449999999999997,0.22633333333333333,0.01816666666666666,-0.01633333333333333,0.050670833333333276,0.18858098398194345,30,10000,0,paired_seed_percentile
selection_share_reciprocator,reciprocator,affect,no_affect,0.2195,0.23950000000000002,-0.020000000000000004,-0.046833333333333345,0.0038333333333333305,-0.2775802833112643,30,10000,0,paired_seed_percentile
selection_share_random,random,affect,no_affect,0.24016666666666667,0.2268333333333334,0.013333333333333334,-0.010166666666666662,0.041499999999999995,0.17932812117024674,30,10000,0,paired_seed_percentile
