experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,discrimination_index,concentration_toward_p0,false_positive_rate,p0_beta_range,p1_beta_range,p2_beta_range,p3_beta_range,p0_beta_r050,p0_beta_r100,p0_beta_r150,p0_beta_r200,p1_beta_r050,p1_beta_r100,p1_beta_r150,p1_beta_r200,p2_beta_r050,p2_beta_r100,p2_beta_r150,p2_beta_r200,p3_beta_r050,p3_beta_r100,p3_beta_r150,p3_beta_r200,p0_selection_r050,p0_selection_r100,p0_selection_r150,p0_selection_r200
mixed_volatility,default_reference,4200,2244.5,11.2225,0.03333333333333333,10.0,0.6825,7.156490601604666,6.997568534252954,7.545398237283052,0.39640779126925174,0.7346395893315858,0.915,0.0,1.0111510494467046,0.0994246763818265,0.15214427556977117,0.32291116367870487,0.5164868887143471,0.5170009372945129,0.9877563099865185,0.5385496110095549,1.041662552452642,1.0994246763818265,1.0471433034015398,1.0471433034015398,1.0113385224140803,0.9652912096403075,0.8591942468443091,0.8591942468443091,1.1048307725185724,1.1553322380946889,1.2996586842874795,1.1624882857346959,0.95,0.9,0.95,0.8947368421052632
mixed_volatility,default_reference,4201,2064.5,10.3225,0.0,4.0,0.5825,7.743139923096169,7.548580878541294,8.924510246938357,0.8584265796168858,-0.7719459994974003,0.13,0.436241610738255,1.042000826094103,0.4710680981402837,0.527708534007304,1.3929288602258527,1.1407148845231354,1.665172003937394,1.7712156002448194,1.8373707684203873,0.9988441236581911,1.3709983865879405,1.3709983865879405,1.3250364963602257,1.0892529048224606,1.0227678883960742,0.8163464738523094,0.8406252075852725,0.516578469957337,0.736329844871303,1.5272860845980025,1.9089939486536465,0.05,0.2,0.0,0.3157894736842105
mixed_volatility,default_reference,4202,1959.0,9.795,0.06666666666666667,85.0,0.3625,9.117925246987667,8.079393548654885,8.957795286749413,1.1065073571208872,-0.2347183019325638,0.24,0.8590604026845637,0.9014421724495889,1.0536501542599086,1.383475780967632,1.0874613208064194,1.7871334378189758,1.7352810028036958,1.6980296803668569,1.654470477804396,0.7922691634362888,0.7922691634362888,0.9686172044706786,1.5715991469957118,0.8875428338332552,1.1172984077701318,1.6253177414457358,0.5957054364630379,1.4993000643102294,1.4993000643102294,1.540338223268797,0.5305948867686469,0.35,0.1,0.15,0.15789473684210525
mixed_volatility,default_reference,4203,1870.0,9.35,0.03333333333333333,4.0,0.1825,9.096685226542089,9.078251056092762,9.092421278223583,1.077482385168797,0.6808014780623856,0.305,0.0738255033557047,1.2341764324071656,1.1627704931698029,1.0952222030189636,0.8177604120792558,1.25724506917229,1.5949048592799857,1.3547813325233442,1.5266482861007447,0.6927219827929427,1.0076728881496142,1.5837582466252786,1.5837582466252786,1.3679534761764207,1.7139569148100464,1.42877563172294,0.6217109623508706,1.7851479804456158,1.6035470917500394,1.5028477850129152,1.3983797071683473,0.25,0.55,0.15,0.42105263157894735
mixed_volatility,default_reference,4204,2099.0,10.495,0.03333333333333333,65.0,0.5825,7.556005066762537,7.329877313747392,9.085510199353683,0.8175045868899862,0.12465109452541127,0.08,0.6375838926174496,0.9488580706490161,0.04166255245264194,0.885164697229832,1.3943330272284546,1.1200326622201358,1.1200326622201358,1.2351788659444547,1.6805994438714857,1.041662552452642,1.041662552452642,1.041662552452642,1.0358418473912694,1.6464994913423365,1.8121106546601433,1.7739927214803695,1.7813613484686774,0.6430168560319393,0.5170140643490031,0.8392307859928498,1.8671586151058739,0.0,0.0,0.05,0.2631578947368421
mixed_volatility,default_reference,4205,1862.5,9.3125,0.0,20.0,0.3275,9.054010219043906,9.068943082728138,8.66803126777539,1.0415400762957923,-0.9477043257400674,0.17,0.3624161073825503,0.8166516976316588,0.9864347979957063,1.078882831915346,1.2841909776404576,1.4675747617257513,1.6985827292286122,1.6650494042236514,1.703898322580244,1.4730771474405517,1.536634108737254,1.536634108737254,1.3557345581012166,1.535540161973481,1.582855293445453,1.3152081253404933,0.5796295696149196,1.6630214708169624,1.3968026023739866,0.6255012869862329,0.5575015044000742,0.05,0.1,0.2,0.21052631578947367
mixed_volatility,default_reference,4206,2053.5,10.2675,0.0,58.0,0.4525,7.277101819348414,7.452943648999531,9.120646815566229,1.0400034779811698,0.7850876059006296,0.045,0.6174496644295302,0.5861815226427552,0.8211774111623231,1.3733817857441957,1.3792731923754045,1.0922729298127822,1.0922729298127822,1.1665777182758386,1.4600927399813235,1.015106328541905,0.6740394212977588,1.414387726156348,1.414387726156348,1.0358793911499222,1.5551690253498904,1.8891201862253586,1.5039755285330356,0.5167185077460035,1.3165105975322011,0.9933643188410873,1.1860088072252113,0.0,0.0,0.05,0.15789473684210525
mixed_volatility,default_reference,4207,1891.5,9.4575,0.03333333333333333,4.0,0.385,9.071835265777315,8.630939618520811,8.558691173984712,0.9111589338719537,-0.38190928887832837,0.405,0.6845637583892618,0.9831973868508831,0.70022985379426,1.3554925963160915,0.6057158985265805,1.6195098764694944,1.7977969087602261,1.7275722328459302,1.397135815231216,0.919789365440836,0.7879380021122464,0.5211947189007486,1.1215597000914053,1.099852183539296,1.6360169881187467,0.59504842433892,0.7823945918679744,0.8221141033759658,1.3460622407789737,1.3460622407789737,1.3460622407789737,0.5,0.45,0.15,0.3157894736842105
mixed_volatility,default_reference,4208,2032.5,10.1625,0.06666666666666667,11.0,0.405,8.649337514112409,8.159472185032762,9.074781462036448,1.028985961425543,0.9375385366546859,0.535,0.0,1.4041673620465938,0.4208669107916325,1.3672821617285271,0.9236274111354188,0.6500425831999079,1.5302083674723366,1.5103951913822369,1.7682621138425214,1.2676757444446458,1.2676757444446458,1.1205130982657097,0.9535193697956332,1.1954091954084252,1.3028651021773654,1.7823220547852894,1.62958908756394,1.4480702659972031,1.4927803302265397,0.8022114422989439,0.7692619916986241,0.5,0.35,0.55,0.6842105263157895
mixed_volatility,default_reference,4209,1790.5,8.9525,0.0,33.0,0.4275,8.891934769078365,8.874743870575456,8.063031291025736,1.033485368396406,0.15643343710739002,0.06,0.785234899328859,0.7282035240784093,0.8376709750767322,1.3189744027495776,1.2490925716809052,1.4811645278311008,1.3991424037403197,1.3843890134723367,0.8894083850263863,0.7907665097016048,1.5046139991066685,1.5046139991066685,1.3899933830592839,1.7874750008882172,1.5836881978968682,0.59532693853116,1.1906094621856982,1.6118091526334597,1.7015062023987593,1.5999524714005848,0.5949252021835566,0.2,0.0,0.1,0.05263157894736842
