variant_id,seed,selected_partner,selection_count,mean_payoff,mean_q_pi_entropy,mean_selected_partner_beta,total_choices,selection_rate
affect,42,0,60,1.7666666666666666,5.064960244540156,1.2857536752335699,200,0.3
affect,42,1,52,2.3846153846153846,5.314243909880282,1.4354037583012114,200,0.26
affect,42,2,36,1.5,4.545356341580125,1.0769398101034244,200,0.18
affect,42,3,52,1.7307692307692308,4.7923845712266795,1.2513872025474309,200,0.26
affect,43,0,27,1.3703703703703705,4.71237992476318,1.0504750843710262,200,0.135
affect,43,1,43,1.5116279069767442,4.1723655763334175,1.0989051239234406,200,0.215
affect,43,2,57,1.456140350877193,3.772512704553885,0.9200503183332844,200,0.285
affect,43,3,73,1.273972602739726,3.6160950199223727,0.799004489630489,200,0.365
affect,44,0,79,2.7974683544303796,5.016316567475146,1.3196557220630794,200,0.395
affect,44,1,54,2.4444444444444446,5.293947876733559,1.52757874995458,200,0.27
affect,44,2,22,1.8181818181818181,5.304254887415351,1.2451517546710225,200,0.11
affect,44,3,45,1.9333333333333333,4.831500470367257,1.1112649695741903,200,0.225
global_beta,42,0,57,1.8771929824561404,4.59650162646193,1.0831989417778034,200,0.285
global_beta,42,1,65,2.169230769230769,4.973127184027654,1.241613358316113,200,0.325
global_beta,42,2,30,1.6,4.573518104458237,1.0437016034010038,200,0.15
global_beta,42,3,48,1.6666666666666667,5.0235150533162125,1.2844289051275557,200,0.24
global_beta,43,0,70,1.9428571428571428,4.534745787357254,1.10590996228944,200,0.35
global_beta,43,1,58,1.6896551724137931,4.563308127478784,1.0578309840442388,200,0.29
global_beta,43,2,36,1.2777777777777777,4.312771959034042,0.9156738313381582,200,0.18
global_beta,43,3,36,1.2222222222222223,4.278521235606161,0.8409234136553949,200,0.18
global_beta,44,0,84,2.8095238095238093,5.000791095619884,1.375729071337818,200,0.42
global_beta,44,1,65,2.292307692307692,5.1197745159049575,1.4308672582989266,200,0.325
global_beta,44,2,28,1.5714285714285714,5.248265437747307,1.3150262358115328,200,0.14
global_beta,44,3,23,1.608695652173913,5.210195997187903,1.2213258136348766,200,0.115
no_affect,42,0,49,1.9387755102040816,4.8362011836153735,,200,0.245
no_affect,42,1,60,2.2666666666666666,4.761245983110456,,200,0.3
no_affect,42,2,38,1.5263157894736843,4.966620490925579,,200,0.19
no_affect,42,3,53,1.679245283018868,4.869291258620726,,200,0.265
no_affect,43,0,75,1.9333333333333333,4.786986783608489,,200,0.375
no_affect,43,1,44,1.6818181818181819,4.951393774535594,,200,0.22
no_affect,43,2,41,0.9024390243902439,5.00658247367175,,200,0.205
no_affect,43,3,40,1.05,4.996984260346071,,200,0.2
no_affect,44,0,83,2.8795180722891565,4.56663904248618,,200,0.415
no_affect,44,1,67,2.462686567164179,4.633844058552519,,200,0.335
no_affect,44,2,28,1.5714285714285714,4.843975037067111,,200,0.14
no_affect,44,3,22,1.4545454545454546,4.857815404827442,,200,0.11
