readout,metric,treatment_variant,reference_variant,treatment_mean,reference_mean,difference,cohen_d,bootstrap_ci_low,bootstrap_ci_high,n_treatment,n_reference
final,total_payoff,affect,no_affect,492.6666666666667,552.0,-59.333333333333314,-1.7552499459101707,-96.66666666666669,-13.333333333333371,3,3
final,mean_q_pi_entropy,affect,no_affect,4.959085877391417,4.393062414934208,0.5660234624572089,2.2250650814295434,0.2643855891903302,0.9358534905379594,3,3
final,mean_joint_accuracy,affect,no_affect,0.4216666666666667,0.4083333333333334,0.013333333333333308,0.041266454198706795,-0.4099999999999999,0.43666666666666665,3,3
final,mean_stance_accuracy,affect,no_affect,0.9133333333333334,0.9266666666666667,-0.013333333333333308,-1.2810252304406935,-0.026666666666666727,0.0,3,3
model_fitness,abs_corr_precision_surprise_minus_reward,affect,,-0.09121975106613527,,-0.09121975106613527,,-0.18176448922509658,0.05107842936549789,3,0
model_fitness,abs_corr_precision_surprise_minus_reward,global_beta,,0.011326769373184997,,0.011326769373184997,,0.011326769373184997,0.011326769373184997,1,0
