experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,alpha
betrayal,alpha_0p1,14212,2234.5,11.1725,0.0,4.0,0.025,0.0,0.485,7.97854357364412,6.768483964888451,6.549281996540458,0.18121297589931581,0.1
betrayal,alpha_0p1,14213,2202.5,11.0125,0.0,4.0,0.2,0.125,0.575,6.995376049360694,6.913248089605614,6.704478185402011,0.12180772231301337,0.1
betrayal,alpha_0p1,14214,2342.5,11.7125,0.0,60.0,0.0,0.0,0.7,6.920642005369328,6.099555003490218,5.654993858651203,0.10432289972139996,0.1
betrayal,alpha_0p1,14215,2216.0,11.08,0.0,,0.225,0.125,0.57,7.15529406643244,6.813395173053663,6.302480056159085,0.12260922432267712,0.1
betrayal,alpha_0p1,14216,2112.0,10.56,0.0,4.0,0.975,0.725,0.7025,6.897778417828705,6.71581895903889,6.889888373831159,0.10384330719736645,0.1
betrayal,alpha_0p1,14217,2325.5,11.6275,0.0,9.0,0.05,0.0,0.7125,6.705940909684419,6.045772886649422,5.886676381949136,0.08730456967486319,0.1
betrayal,alpha_0p1,14218,2211.5,11.0575,0.0,,0.15,0.05,0.625,7.218206364905643,6.837609204365771,6.663195400204456,0.10228435284186382,0.1
betrayal,alpha_0p1,14219,2241.5,11.2075,0.0,4.0,0.125,0.075,0.6275,7.402036180569976,6.5986652128383385,6.557043221291776,0.11918663300287244,0.1
betrayal,alpha_0p3,14200,2387.0,11.935,0.0,17.0,0.025,0.0,0.6775,5.815522533684244,5.348705160059641,5.275894708155026,0.1571380580056228,0.3
betrayal,alpha_0p3,14201,1963.5,9.8175,0.0,4.0,0.775,0.35,0.3875,6.939466189483404,6.758740444629406,8.069189505606907,0.2527171342753806,0.3
betrayal,alpha_0p3,14202,2137.0,10.685,0.0,4.0,0.775,0.75,0.565,6.993039208125876,6.423440553808472,6.600155465257173,0.22921750958470155,0.3
betrayal,alpha_0p3,14203,2279.0,11.395,0.0,4.0,1.0,0.925,0.725,5.533295158430256,5.358633128517059,6.182486626088673,0.11976995638181281,0.3
betrayal,alpha_0p3,14204,2335.0,11.675,0.0,89.0,0.0,0.0,0.725,6.235498744435588,5.128455423937024,4.752003893411384,0.12062692123267763,0.3
betrayal,alpha_0p3,14205,1746.0,8.73,0.0,4.0,0.6,0.4,0.3275,8.017898183403561,7.96238013871566,7.638274011981427,0.2512248297171312,0.3
betrayal,alpha_0p3,14206,2218.0,11.09,0.0,4.0,0.65,0.475,0.525,6.028314532124369,6.627788568416251,5.953585439999477,0.334490395643331,0.3
betrayal,alpha_0p3,14207,2293.5,11.4675,0.0,,0.0,0.0,0.6875,6.824254641221936,5.104808928747345,4.935132429692342,0.1508025472139535,0.3
betrayal,alpha_0p3,14208,2339.0,11.695,0.0,67.0,0.0,0.0,0.7125,5.964361484197725,5.0337206297876715,5.295051069674417,0.13315080328088716,0.3
betrayal,alpha_0p3,14209,2267.5,11.3375,0.0,4.0,0.175,0.175,0.405,7.261593913150497,6.647240099022248,6.302115039417664,0.2859335097575027,0.3
