variant_id,seed,selected_partner,selection_count,mean_payoff,mean_q_pi_entropy,mean_selected_partner_beta,total_choices,selection_rate
affect,620,0,37,1.9189189189189189,4.883093467524017,1.4437634117055433,200,0.185
affect,620,1,40,2.0,4.644708970288507,1.2170416067989303,200,0.2
affect,620,2,55,1.3636363636363635,3.872618060562763,0.824136516898099,200,0.275
affect,620,3,68,2.1470588235294117,4.50866762819424,1.0955110191709811,200,0.34
affect,621,0,94,2.127659574468085,4.351476492086151,1.1558316510963538,200,0.47
affect,621,1,27,1.8888888888888888,5.202080882344457,1.37659579151938,200,0.135
affect,621,2,56,1.9285714285714286,5.065608923901216,1.2595360992039204,200,0.28
affect,621,3,23,1.3478260869565217,4.935582823358458,1.147945290011444,200,0.115
affect,622,0,77,1.7012987012987013,3.6259196492878263,0.8754676121082948,200,0.385
affect,622,1,47,2.148936170212766,5.101721296749512,1.4660709324425825,200,0.235
affect,622,2,52,1.3076923076923077,4.101786711115636,0.7959768056094455,200,0.26
affect,622,3,24,1.6666666666666667,4.605529033165996,1.0498610661673307,200,0.12
affect,623,0,82,1.853658536585366,4.568342805531232,1.1347716840188498,200,0.41
affect,623,1,30,2.1333333333333333,5.078725778015719,1.3798641170494252,200,0.15
affect,623,2,37,1.9189189189189189,5.156595831613123,1.256763398439269,200,0.185
affect,623,3,51,2.019607843137255,5.24488460956338,1.4496968361393316,200,0.255
affect,624,0,75,1.72,4.291942908003906,1.0876152041517415,200,0.375
affect,624,1,27,1.4444444444444444,4.953633545434335,1.1016444629160556,200,0.135
affect,624,2,31,1.7096774193548387,5.055752464395338,1.2315207522021812,200,0.155
affect,624,3,67,2.343283582089552,5.45063458882381,1.488178299665691,200,0.335
affect,625,0,51,1.8627450980392157,5.100281995253525,1.2412748386398629,200,0.255
affect,625,1,38,2.473684210526316,5.0362731048028335,1.2815098363813155,200,0.19
affect,625,2,75,1.9866666666666666,4.657250734498737,1.2555101927069776,200,0.375
affect,625,3,36,2.0555555555555554,5.373860370400834,1.4488115184998764,200,0.18
affect,626,0,43,2.441860465116279,5.281106681206645,1.5370945757426353,200,0.215
affect,626,1,55,2.5272727272727273,5.152797449968717,1.405541355154745,200,0.275
affect,626,2,58,1.2758620689655173,3.8988252145115956,0.7456786955156977,200,0.29
affect,626,3,44,1.5454545454545454,3.8557966617382746,0.8672481236777458,200,0.22
affect,627,0,93,2.6129032258064515,4.77183155953694,1.2375188107067079,200,0.465
affect,627,1,25,1.4,5.714533205685193,1.4232293486212013,200,0.125
affect,627,2,33,1.6666666666666667,4.879647116166765,1.155401305852485,200,0.165
affect,627,3,49,2.183673469387755,5.293203843306019,1.419012446671355,200,0.245
affect,628,0,54,1.6666666666666667,3.944509666369607,0.971165592313867,200,0.27
affect,628,1,55,3.109090909090909,4.7270385895694504,1.223955526778514,200,0.275
affect,628,2,64,1.375,3.69719101705456,0.7715441727265413,200,0.32
affect,628,3,27,1.5185185185185186,3.8204304070673922,0.8404771990424321,200,0.135
