variant_id,seed,partner_idx,switch_event_idx,switch_round,switch_kind,post_switch_decisions,reencounters,returned_to_partner,decisions_to_first_reencounter,rounds_to_first_reencounter,reencounter_selection_rate,mean_payoff_on_reencounter,mean_q_pi_entropy_on_reencounter
lesioned,547,0,0,30,scheduled_stance,90,8,True,14.0,14.0,0.08888888888888889,9.0625,8.963867094678335
lesioned,548,0,0,30,scheduled_stance,90,3,True,33.0,33.0,0.03333333333333333,9.333333333333334,8.608801684100877
lesioned,549,0,0,30,scheduled_stance,90,7,True,0.0,0.0,0.07777777777777778,8.714285714285714,8.86151335244831
no_affect,520,0,0,30,scheduled_stance,90,6,True,21.0,21.0,0.06666666666666667,8.0,9.009321117767113
no_affect,521,0,0,30,scheduled_stance,90,2,True,38.0,38.0,0.022222222222222223,10.75,8.465334371138809
no_affect,522,0,0,30,scheduled_stance,90,5,True,12.0,12.0,0.05555555555555555,8.6,8.850178351602668
no_affect,523,0,0,30,scheduled_stance,90,8,True,1.0,1.0,0.08888888888888889,9.375,8.773921203236423
no_affect,524,0,0,30,scheduled_stance,90,3,True,12.0,12.0,0.03333333333333333,9.333333333333334,8.483772302735524
no_affect,525,0,0,30,scheduled_stance,90,3,True,11.0,11.0,0.03333333333333333,9.333333333333334,8.819233907101955
no_affect,526,0,0,30,scheduled_stance,90,3,True,34.0,34.0,0.03333333333333333,9.333333333333334,8.773200740687656
no_affect,527,0,0,30,scheduled_stance,90,3,True,3.0,3.0,0.03333333333333333,9.0,8.650312163800065
no_affect,528,0,0,30,scheduled_stance,90,6,True,12.0,12.0,0.06666666666666667,8.666666666666666,8.859730717795182
no_affect,529,0,0,30,scheduled_stance,90,1,True,53.0,53.0,0.011111111111111112,8.0,8.489599918656502
no_affect,530,0,0,30,scheduled_stance,90,9,True,7.0,7.0,0.1,9.277777777777779,8.629779508555096
no_affect,531,0,0,30,scheduled_stance,90,23,True,0.0,0.0,0.25555555555555554,8.043478260869565,9.103003819822428
no_affect,532,0,0,30,scheduled_stance,90,0,False,,,0.0,,
no_affect,533,0,0,30,scheduled_stance,90,1,True,47.0,47.0,0.011111111111111112,10.0,8.476215135922894
no_affect,534,0,0,30,scheduled_stance,90,4,True,0.0,0.0,0.044444444444444446,8.5,8.469643851377443
no_affect,535,0,0,30,scheduled_stance,90,23,True,1.0,1.0,0.25555555555555554,7.782608695652174,8.914054513942814
no_affect,536,0,0,30,scheduled_stance,90,24,True,5.0,5.0,0.26666666666666666,8.416666666666666,8.939932666395523
no_affect,537,0,0,30,scheduled_stance,90,3,True,10.0,10.0,0.03333333333333333,8.0,8.839190676363513
no_affect,538,0,0,30,scheduled_stance,90,4,True,0.0,0.0,0.044444444444444446,9.25,8.917091019149085
no_affect,539,0,0,30,scheduled_stance,90,1,True,14.0,14.0,0.011111111111111112,9.0,8.239132987733711
no_affect,540,0,0,30,scheduled_stance,90,4,True,11.0,11.0,0.044444444444444446,9.5,8.539730007973818
no_affect,541,0,0,30,scheduled_stance,90,6,True,18.0,18.0,0.06666666666666667,9.666666666666666,8.773269010718353
no_affect,542,0,0,30,scheduled_stance,90,8,True,3.0,3.0,0.08888888888888889,9.0,8.511058761296868
no_affect,543,0,0,30,scheduled_stance,90,6,True,16.0,16.0,0.06666666666666667,8.166666666666666,8.651990213774521
no_affect,544,0,0,30,scheduled_stance,90,2,True,75.0,75.0,0.022222222222222223,8.0,8.74095052858089
no_affect,545,0,0,30,scheduled_stance,90,0,False,,,0.0,,
no_affect,546,0,0,30,scheduled_stance,90,6,True,43.0,43.0,0.06666666666666667,9.5,8.946838510704373
no_affect,547,0,0,30,scheduled_stance,90,8,True,14.0,14.0,0.08888888888888889,9.0625,8.963867094678335
no_affect,548,0,0,30,scheduled_stance,90,3,True,33.0,33.0,0.03333333333333333,9.333333333333334,8.608801684100877
no_affect,549,0,0,30,scheduled_stance,90,7,True,0.0,0.0,0.07777777777777778,8.714285714285714,8.86151335244831
