variant_id,total_payoff,mean_accuracy,mean_stance_accuracy,mean_joint_accuracy,mean_q_pi_entropy,predictive_log_score,delta_total_payoff_vs_affect,delta_mean_accuracy_vs_affect,delta_mean_stance_accuracy_vs_affect,delta_mean_joint_accuracy_vs_affect,delta_mean_q_pi_entropy_vs_affect
affect,1851.3333333333333,0.43,0.8150000000000001,0.3633333333333333,8.586051829459711,-0.6235121458114178,0.0,0.0,0.0,0.0,0.0
no_affect,1864.1666666666667,0.39166666666666666,0.8450000000000001,0.335,8.791190814546212,,12.833333333333485,-0.03833333333333333,0.030000000000000027,-0.028333333333333266,0.20513898508650108
tracked_only,1864.1666666666667,0.3916666666666666,0.8450000000000001,0.335,8.791190814546212,-0.6020688516614003,12.833333333333485,-0.038333333333333386,0.030000000000000027,-0.028333333333333266,0.20513898508650108
