variant_id,n_partner_seed_units,reward_proxy,alignment,corr_precision_surprise,corr_precision_reward,corr_surprise_reward,corr_precision_active_encounters,corr_surprise_active_encounters,corr_reward_active_encounters,abs_corr_precision_surprise,abs_corr_precision_reward,abs_corr_surprise_reward,abs_corr_reward_active_encounters,active_encounter_min,active_encounter_max,active_encounter_imbalance,surprise_dominates_reward,partial_corr_precision_surprise,partial_corr_precision_reward,abs_partial_corr_precision_surprise,abs_partial_corr_precision_reward,partial_surprise_dominates_reward
affect,12,active_mean_payoff,active_encounter,-0.9761589563737219,-0.7205316323525469,0.7547862028886979,-0.4238047571109736,0.42303633558993525,0.6411657418394209,0.9761589563737219,0.7205316323525469,0.7547862028886979,0.6411657418394209,2.0,151.0,75.5,True,-0.9511586031717115,0.17164467394907637,0.9511586031717115,0.17164467394907637,True
global_beta,12,active_mean_payoff,active_encounter,-0.4589131009621059,-0.3569442458222045,0.8483189348401902,-0.19520103026990565,0.49778083035262005,0.7951463708503731,0.4589131009621059,0.3569442458222045,0.8483189348401902,0.7951463708503731,5.0,173.0,34.6,True,-0.2783346573537387,0.0579005305097584,0.2783346573537387,0.0579005305097584,True
