variant_id,seed,total_payoff,mean_accuracy,mean_stance_accuracy,mean_joint_accuracy,mean_q_pi_entropy,mean_abs_step_efe,planning_cost,planning_cost_ratio,total_log_evidence,mean_round_log_evidence
affect,42,1260.0,0.875,0.44166666666666665,0.375,8.161646794589789,15.000050868576363,6718464.0,1.0,-61.51221724165193,-0.5126018103470995
affect,43,1350.5,0.058333333333333334,0.5333333333333333,0.025,7.399594393423493,15.737075934917327,6718464.0,1.0,-46.21064625096887,-0.38508871875807393
affect,44,1356.5,0.9416666666666667,0.5916666666666667,0.5583333333333333,6.856141591239788,15.05833470514408,6718464.0,1.0,-42.863115193134654,-0.35719262660945544
global_beta,42,1232.5,0.8,0.48333333333333334,0.35833333333333334,8.510427792578014,14.489127757457027,6718464.0,1.0,-66.4896031791009,-0.5540800264925074
global_beta,43,1101.5,0.058333333333333334,0.8083333333333333,0.041666666666666664,8.910602981870221,16.616071704110073,6718464.0,1.0,-84.58984524819594,-0.7049153770682997
global_beta,44,1314.5,0.8666666666666667,0.5916666666666667,0.49166666666666664,7.189611383382229,15.087242003979675,6718464.0,1.0,-47.925857385238245,-0.3993821448769853
lesioned,42,1176.0,0.825,0.7333333333333333,0.6,8.696845503633766,15.370655548852907,6718464.0,1.0,-80.51497755818006,-0.6709581463181673
lesioned,43,1282.0,0.6916666666666667,0.48333333333333334,0.2916666666666667,8.668909227505061,15.235987591932401,6718464.0,1.0,-55.7966035762354,-0.4649716964686285
lesioned,44,1217.0,0.8,0.525,0.38333333333333336,8.666550797764263,15.480584192622821,6718464.0,1.0,-76.47752769181177,-0.6373127307650979
no_affect,42,1176.0,0.825,0.7333333333333333,0.6,8.696845503633766,15.370655548852907,6718464.0,1.0,-80.51497755818006,-0.6709581463181673
no_affect,43,1282.0,0.6916666666666667,0.48333333333333334,0.2916666666666667,8.668909227505061,15.235987591932401,6718464.0,1.0,-55.7966035762354,-0.4649716964686285
no_affect,44,1217.0,0.8,0.525,0.38333333333333336,8.666550797764263,15.480584192622821,6718464.0,1.0,-76.47752769181177,-0.6373127307650979
