variant_id,total_payoff,mean_accuracy,mean_stance_accuracy,mean_joint_accuracy,mean_q_pi_entropy,predictive_log_score,delta_total_payoff_vs_affect,delta_mean_accuracy_vs_affect,delta_mean_stance_accuracy_vs_affect,delta_mean_joint_accuracy_vs_affect,delta_mean_q_pi_entropy_vs_affect,delta_predictive_log_score_vs_affect
affect,1851.3333333333333,0.43,0.8150000000000001,0.3633333333333333,8.586051829459711,-0.6235121458114178,0.0,0.0,0.0,0.0,0.0,0.0
global_beta,1851.3333333333333,0.37833333333333324,0.8483333333333333,0.3283333333333333,8.642151157973183,-0.6177270563906431,0.0,-0.05166666666666675,0.033333333333333215,-0.034999999999999976,0.0560993285134721,0.005785089420774714
lesioned,1864.1666666666667,0.39166666666666666,0.8450000000000001,0.335,8.791190814546212,-0.6020688516614003,12.833333333333485,-0.03833333333333333,0.030000000000000027,-0.028333333333333266,0.20513898508650108,0.021443294150017445
no_epistemic,1863.3333333333333,0.395,0.895,0.3499999999999999,8.328586377203427,-0.6073605018239058,12.0,-0.034999999999999976,0.07999999999999996,-0.013333333333333364,-0.2574654522562838,0.01615164398751201
