experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,reengagement_rate,payoff_recovery,reengagement_latency,beta_pre,beta_betrayal,beta_repair,beta_recovery_r080,beta_recovery_r100,beta_recovery_r120,beta_recovery_r140,beta_recovery_r160,beta_recovery_r180,beta_recovery_r200
forgiveness,cautious_high_alpha,4200,1929.5,9.6475,0.06666666666666667,6.0,0.625,0.3,0.4375,8.351343629314746,8.227172504835728,8.446218272679472,1.0911031730212277,0.4050632911392405,0.7987686694789647,0.0,0.933281607298477,1.7800549018769076,1.5031354128736836,0.7174406017727011,1.892292816679646,1.8475136425272614,1.7541998862531853,1.6593722158702158,1.1515963919332945,1.3006801283212073
forgiveness,cautious_high_alpha,4201,1873.0,9.365,0.06666666666666667,4.0,0.525,0.2,0.49,9.0291966476779,8.917631498576954,9.021332221553354,0.7471359971497425,0.5569620253164557,0.942736305048335,0.0,1.6205209771410523,1.3612284212152819,1.6014100731395908,1.6809277400903457,1.2296200465433986,1.0504301923328059,1.741119262512658,1.730551720474076,1.3475708121655066,1.8460073655780824
forgiveness,cautious_high_alpha,4202,1887.0,9.435,0.0,73.0,0.175,0.075,0.45,8.977220552514542,8.683682255632842,8.706295236586396,0.9312871550210988,0.620253164556962,1.0292737197093489,0.0,1.609493866530889,1.4418673915078295,1.051078428131262,1.636455217991426,1.4355697242889938,1.5377896654509944,0.8241937366340732,1.2367765385585225,0.7684950026159669,1.734201429466714
forgiveness,cautious_high_alpha,4203,1865.0,9.325,0.0,4.0,0.625,0.05,0.05,7.7233240955337585,8.217454745478998,7.897429495649336,1.1113896235111853,0.0759493670886076,0.9793122728543472,1.0,1.3752505269806463,0.744451413402236,1.6225675801186934,1.5023110176563534,0.5199243638969127,1.1000364291207618,1.7890563781858364,1.7890563781858364,1.5504647158443514,1.5504647158443514
forgiveness,cautious_high_alpha,4204,2227.0,11.135,0.0,,0.025,0.0,0.6925,7.923872650340599,7.0377947492190795,7.07240191655512,0.4488520413295066,0.012658227848101266,0.9628840547207894,25.0,1.5817999999999999,1.608886311833578,1.7003509328093067,1.5818,1.5818,1.63882381438648,1.63882381438648,1.7288357098569114,1.7288357098569114,1.7288357098569114
forgiveness,cautious_high_alpha,4205,1790.5,8.9525,0.06666666666666667,,0.025,0.0,0.44,9.057315380403754,8.826957672067657,8.50177176571069,0.9084169112713457,0.012658227848101266,1.0463573574745386,62.0,1.4533681017275488,1.6975504206726462,1.705366747063288,1.7513267071793843,1.6652846487686028,1.6652846487686028,1.6652846487686028,1.6652846487686028,1.6652846487686028,1.8515485173144937
forgiveness,cautious_high_alpha,4206,1912.5,9.5625,0.1,4.0,0.725,0.325,0.4825,8.833190024335352,8.609451393252805,8.900237638686157,1.0201220171060694,0.569620253164557,1.0629460923209355,0.0,1.4392282814817885,1.3924400346254033,1.0051990043191876,1.3982836392217814,1.3011453086707208,1.140253919385454,0.9926056328213698,0.9570287910707477,1.1313401871140685,1.2084645415822488
forgiveness,cautious_high_alpha,4207,1927.5,9.6375,0.03333333333333333,4.0,0.825,0.2,0.5675,8.66179635689156,7.929848110488269,7.68892765786518,1.015276755271635,0.8354430379746836,0.9856399513447763,0.0,1.5651625792907533,0.8909900633417684,0.8853945495476512,1.8387525365412773,0.6494610303397022,0.6417406948986654,0.5300267415701398,0.6013771219842885,1.5288842032311911,1.5840217808045851
forgiveness,cautious_high_alpha,4208,1845.0,9.225,0.03333333333333333,7.0,0.85,0.25,0.3625,9.14927948367621,8.005599777504464,8.58679205760137,1.0713337201554594,0.5316455696202531,1.0015182543605679,3.0,1.7163926880137303,0.8324742590844503,1.2145087418185991,1.5854843704550958,0.5924209104891534,0.8682852628771569,1.0699276416787316,0.7629304957317646,0.9464721848838548,1.5732529055953877
forgiveness,cautious_high_alpha,4209,1882.0,9.41,0.03333333333333333,33.0,0.05,0.025,0.2575,8.249259152955464,7.65986627984068,8.218033009700818,1.2292077465952336,0.31645569620253167,1.060560525580095,10.0,1.6586104353827131,1.4441452749069117,1.3617520956807403,1.5644677146688657,1.5644677146688657,1.0759837083802917,1.8021214413857067,1.7555816151900985,1.2771932995613904,1.3195474073682378
